Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Sensor name,Datamodel,Mapping,Template
r_ts,Timestamp,Timestamp at the time of taking the sensor reading (GMT+0),r,uint32_t,dimensionless,N/A,N/A,No,ALL_ONE_PROBES,,,No
r_loop,Sending loop number,Sending loop number,r,uint32_t,dimensionless,1,N/A,No,ALL_ONE_PROBES,,,Yes
r_1_tmp,Temperature (BME280),Atmospheric Temperature,r,float,celsius,-40,85,No,BME280,,,Yes
r_1_hum,Humidity (BME280),Relative Humidity,r,float,%,0,100,No,BME280,,,Yes
r_1_pres,Pressure (BME280),Barometric Pressure,r,float,hPa,300,1100,No,BME280,,,Yes
r_2_tmp,Temperature (SI411),Temperature of the measured surface,r,float,celsius,-50,80,No,SI411,,,Yes
r_3_tmpbd,Bud Temperature (SF421),Temperature of the bud,r,float,celsius,-50,70,No,SF421,,,Yes
r_3_tmpfl,Leaf Temperature (SF421),Temperature of the leaf,r,float,celsius,-50,70,No,SF421,,,No
r_4_ox,Oxygen (SO411),Gaseous Oxygen readed,r,float,%,0,100,No,SO411,,,Yes
r_4_tmp,Temperature (SO411),Atmospheric Temperature,r,float,celsius,-20,60,No,SO411,,,Yes
r_4_volt,Millivolts (SO411),Millivolts of the sensor readed,r,float,millivolts,N/A,N/A,No,SO411,,,No
r_5_rwc,Raw Water Content (TEROS11),The VWC range depends on the substrate for which the sensor is calibrated. A custom calibration will accommodate the ranges required for most substrates.,r,float,dimensionless,N/A,N/A,No,TEROS11,,,Yes
r_5_tmp,Temperature (TEROS11),"Soil Temperature. May not be accurate if the sensor is not fully immersed in the medium of interest, due to a longer equilibration time",r,float,celsius,-40,60,No,TEROS11,,,Yes
r_6_rwc,Raw Water Content (TEROS12),The VWC range depends on the substrate for which the sensor is calibrated. A custom calibration will accommodate the ranges required for most substrates.,r,float,dimensionless,N/A,N/A,No,TEROS12,,,Yes
r_6_cond,Conductivity (TEROS12),Conductivity is the measure of a material's ability to conduct an electric current or transfer heat,r,float,µS/cm,0,20000,No,TEROS12,,,Yes
r_6_tmp,Temperature (TEROS12),"Soil Temperature. May not be accurate if the sensor is not fully immersed in the medium of interest, due to a longer equilibration time",r,float,celsius,-40,60,No,TEROS12,,,Yes
r_7_wp,Water Potential (TEROS21),Water Potential,r,float,kPa,0,100000,No,TEROS21,,,Yes
r_7_tmp,Temperature (TEROS21),"Soil Temperature. May not be accurate if the sensor is not fully immersed in the medium of interest, due to a longer equilibration time",r,float,celsius,-40,60,No,TEROS21,,,Yes
r_8_vp,Vapor Pressure (ATMOS14),Vapor Pressure,r,float,kPa,0,47,No,ATMOS14,,,Yes
r_8_tmp,Temperature (ATMOS14),Atmospheric Temperature,r,float,celsius,-40,80,No,ATMOS14,,,Yes
r_8_hum,Humidity (ATMOS14),Relative Humidity,r,float,%RH,0,100,No,ATMOS14,,,Yes
r_8_pres,Pressure (ATMOS14),Barometric Pressure,r,float,kPa,1,120,No,ATMOS14,,,Yes
r_9_pres,Pressure (GMX240),Barometric Pressure,r,float,kPa,N/A,N/A,No,GMX240,,,Yes
r_9_wd,Wind Direction (GMX240),Wind Direction,r,uint16_t,degrees,0,360,No,GMX240,,,Yes
r_9_ws,Wind Speed (GMX240),Wind Speed,r,float,m/s,0,60,No,GMX240,,,Yes
r_9_wcd,Wind Corrected Direction (GMX240),Wind Corrected Direction,r,uint16_t,degrees,0,360,No,GMX240,,,No
r_9_wad,Wind Average Direction (GMX240),Wind Average Direction,r,uint16_t,degrees,0,360,No,GMX240,,,No
r_9_was,Wind Average Speed (GMX240),Wind Average Speed,r,float,m/s,0,60,No,GMX240,,,No
