Command,Datamodel,Mapping,Data type,Name,Description,Operations,Units,Min,Max,Internal
TimeInstant,AirQualityObserved,dateObserved,DateTime,Time Instant,,r,,,,
period,AirQualityObserved,rw_dev_interval,Number,Period,,r,,,,
status,AirQualityObserved,status,Text,Status,,r,,,,
no2-a4,AirQualityObserved,no2,Number,NO2,,r,,,,
ox-a431,AirQualityObserved,o3,Number,OX,,r,,,,
co-a4,AirQualityObserved,co,Number,CO,,r,,,,
so2-a4,AirQualityObserved,so2,Number,SO2,,r,,,,
h2s-a4,AirQualityObserved,h2s,Number,H2S,,r,,,,
no-a4,AirQualityObserved,no,Number,NO,,r,,,,
nh3-a4,AirQualityObserved,nh3,Number,NH3,,r,,,,
cl2-a1,AirQualityObserved,cl2,Number,CL2,,r,,,,
c6h6-a4,AirQualityObserved,c6h6,Number,C6H6,,r,,,,
NO2-A43F,AirQualityObserved,no2,Number,NO2,,r,,,,
OX-A431,AirQualityObserved,o3,Number,OX,,r,,,,
CO-A4,AirQualityObserved,co,Number,CO,,r,,,,
SO2-A4,AirQualityObserved,so2,Number,SO2,,r,,,,
H2S-A4,AirQualityObserved,h2s,Number,H2S,,r,,,,
NO-A4,AirQualityObserved,no,Number,NO,,r,,,,
NH3-A4,AirQualityObserved,nh3,Number,NH3,,r,,,,
CL2-A1,AirQualityObserved,cl2,Number,CL2,,r,,,,
pm1,AirQualityObserved,pm1,Number,PM1,,r,,,,
pm2,AirQualityObserved,pm25,Number,PM25,,r,,,,
pm4,AirQualityObserved,pm4,Number,PM4,,r,,,,
pm10,AirQualityObserved,pm10,Number,PM10,,r,,,,
tsp,AirQualityObserved,tsp,Number,TSP,,r,,,,
tpc,AirQualityObserved,tpc,Number,TPC,,r,,,,
voc,AirQualityObserved,volatileOrganicCompoundsTotal,Number,VOC,,r,,,,
co2,AirQualityObserved,co2,Number,CO2,,r,,,,
o2,AirQualityObserved,o2,Number,O2,,r,,,,
TimeInstant,WeatherObserved,dateObserved,DateTime,Time Instant,,r,,,,
period,WeatherObserved,rw_dev_interval,Number,Period,,r,,,,
status,WeatherObserved,status,Text,Status,,r,,,,
hum3,WeatherObserved,relativeHumidity,Number,Relative Humidity,,r,,,,
temp3,WeatherObserved,temperature,Number,Temperature,,r,,,,
pres1,WeatherObserved,atmosphericPressure,Number,Atmospheric Pressure,,r,,,,
dew_point,WeatherObserved,dewPoint,Number,Dew Point,,r,,,,
wind_chill,WeatherObserved,feelLikesTemperature,Number,Feel Likes Temperature,,r,,,,
rain_rate,WeatherObserved,precipitation,Number,Precipitation Intensity,,r,,,,
rain_15a,WeatherObserved,precipitation15a,Number,Precipitation,,r,,,,
rain_24ha,WeatherObserved,precipitation24a,Number,Daily Precipitation Intensity,,r,,,,
rain_daily,WeatherObserved,precipitationDaily,Number,Daily Precipitation,,r,,,,
wind_dir,WeatherObserved,windDirection,Number,Wind Direction,,r,,,,
wind_dir_compass,WeatherObserved,windDirCompass,Number,wind Direction Compass,,r,,,,
wind_sp,WeatherObserved,windSpeed,Number,Wind Speed,,r,,,,
et_daily,WeatherObserved,etDaily,Number,Daily Evapotranspiration,,r,,,,
solar_rad0,WeatherObserved,solarRadiation,Number,Solar Radiation,,r,,,,
uv_index,WeatherObserved,uVIndexMax,Number,UV,,r,,,,
thsw_index,WeatherObserved,thswIndex,Number,Estimated Temperature,,r,,,,
