Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Tab,Datamodel,Mapping
r_dev_ts,Timestamp,Timestamp DEV (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Device.Information,Device,dateObserved
r_dev_serial,Serial,Serial of the device,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,serialNumber
r_dev_fw_v,Firmware Version,Firmware Version,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,firmwareVersion
r_dev_fw_frmw_v,Framework Version,Framework Version,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,osVersion
r_dev_hw_config,Hardware Configuration,Model number of the device,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,hwConfig
r_dev_hw_v,Hardware Version,Device Hardware Version,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,hardwareVersion
r_dev_mem_int_free,Internal Free Memory,Internal free memory,r,float,kb,N/A,N/A,No,Device.Information.Memory,Device,internalMemoryFree
r_dev_mem_ext_free,External Free Memory,External free memory,r,float,kb,N/A,N/A,No,Device.Information.Memory,Device,externalMemoryFree
r_dev_mem_nvs_free,Storage Free Memory,NVS percentaje of free memory,r,float,%,0,100,No,Device.Information.Memory,Device,configurationStorageFree
rw_dev_device_mode,Device Mode,Device mode to use. Available/accepted modes are determined by the several device HW and SW configuration. (0=M2M / 1=LW+M2M CONFIG / 2=LW SLEEPER 3=M2M SLEEPER),rw,uint8_t,dimensionless,0,3,No,Device.Configuration,Device,rw_dev_device_mode
rw_dev_interval,Report Interval,Reporting data interval. The accepted values are determined by the several device HW and SW configuration. It is applicable to all reporting protocols (MQTT/LoRaWAN/...).,rw,uint32_t,seconds,60,1500,No,Device.Configuration,Device,rw_dev_interval
rw_dev_nm_en,Night Mode Enable,Enables or disables the Night Mode. When enabled the device enters deep-sleep during the configured time window.,rw,bool,dimensionless,N/A,N/A,No,Device.Configuration,Device,rw_dev_nm_en
rw_dev_nm_st,Night Mode Start,Specifies the start time of the Night Mode window in HH:MM format (GMT+0). Supports overnight windows (start > end). The device enters deep-sleep at this time when Night Mode is enabled.,rw,string,dimensionless,N/A,N/A,No,Device.Configuration,Device,rw_dev_nm_st
rw_dev_nm_end,Night Mode End,Specifies the end time of the Night Mode window in HH:MM format (GMT+0). Supports overnight windows (start > end). The device wakes up at this time when Night Mode is enabled.,rw,string,dimensionless,N/A,N/A,No,Device.Configuration,Device,rw_dev_nm_end
r_dev_storage_days_cap,Internal Storage Capacity,Internal Storage Capacity,r,float,days,N/A,N/A,No,Device.Information.Memory,Device,internalStorageCapacity
r_dev_storage_usage_percent,Internal Storage Usage,Internal Storage Usage,r,float,%,0,100,No,Device.Information.Memory,Device,internalStorageUsage
w_dev_bstrap,Launch Bootstrapping,Force bootstrap connection,w,bool,dimensionless,N/A,N/A,Yes,Device.Management,Device,w_dev_bstrap
w_dev_snd_cfg,Request Configuration,Send device configuration,w,bool,dimensionless,N/A,N/A,No,Device.Management,Device,w_dev_snd_cfg
w_dev_snd_rpt,Request Report,Force to send one shot report,w,bool,dimensionless,N/A,N/A,No,Device.Management,Device,w_dev_snd_rpt
w_dev_rbt,Reboot Device,Reboot the device,w,bool,dimensionless,N/A,N/A,No,Device.Management,Device,w_dev_rbt
r_dev_rst_cause,Last Reset Cause,Last reset cause,r,string,dimensionless,N/A,N/A,No,Device.Management,Device,rebootReason
w_dev_ota,OTA Check,Check for OTA update,w,bool,dimensionless,N/A,N/A,Yes,Device.Management,Device,w_dev_ota
w_dev_ota_fix,OTA Fix,Fix OTA update,w,bool,dimensionless,N/A,N/A,Yes,Device.Management,Device,w_dev_ota_fix
r_dho_ts,Timestamp,Timestamp DHO (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Device.Health,DeviceHealthObserved,dateObserved
r_dho_int_temp,Internal Temperature,Internal temperature,r,float,Celsius,-40,125,No,Device.Health,DeviceHealthObserved,temperature
r_dho_int_hum,Internal Humidity,Internal humidity,r,float,%,0,100,No,Device.Health,DeviceHealthObserved,humidity
r_dho_bat_level,Battery Level,Battery state,r,float,dimensionless,N/A,N/A,No,Device.Health,DeviceHealthObserved,batteryLevel
r_dho_bat_state,Battery State,Battery state,r,uint32_t,dimensionless,N/A,N/A,No,Device.Health,DeviceHealthObserved,batteryState
r_dho_bat_voltage,Battery Voltage,Battery voltage,r,uint32_t,millivolts,9000,12600,No,Device.Health,DeviceHealthObserved,batteryVoltage
r_dho_bat_current,Battery Current,Battery current,r,int32_t,mAh,N/A,N/A,No,Device.Health,DeviceHealthObserved,batteryCurrent
r_dho_bat_temp,Battery Temperature,Battery temperature,r,float,Celsius,-36,84,No,Device.Health,DeviceHealthObserved,batteryTemperature
rw_dho_upd_location,Use GNSS Location,Instructs to the device to report GNSS location acquired (enabled) or user-specified location (disabled),rw,bool,dimensionless,N/A,N/A,No,Device.Location,DeviceHealthObserved,rw_dho_upd_location
rw_dho_latitude,Latitude,Specifies the latest latitude value reported from the device GNSS when 'Use GNSS Location' is enabled or the latitude value established by the user when 'Use GNSS Location' is disabled.,rw,float,degrees,-90,90,No,Device.Location,DeviceHealthObserved,rw_dho_latitude
rw_dho_longitude,Longitude,Specifies the latest longitude value reported from the device GNSS when 'Use GNSS Location' is enabled or the longitude value established by the user when 'Use GNSS Location' is disabled.,rw,float,degrees,-180,180,No,Device.Location,DeviceHealthObserved,rw_dho_longitude
rw_dho_altitude,Altitude,Specifies the latest altitude value reported from the device GNSS when 'Use GNSS Location' is enabled or the altitude value established by the user when 'Use GNSS Location' is disabled.,rw,float,meters,0,8000,No,Device.Location,DeviceHealthObserved,rw_dho_altitude
rw_dho_speed,Speed,Specifies the latest speed value reported from the device GNSS when 'Use GNSS Location' is enabled or the speed value established by the user when 'Use GNSS Location' is disabled.,rw,float,km/h,0,300,No,Device.Location,DeviceHealthObserved,rw_dho_speed
r_dho_gps_fixed,Fixed GPS,This parameter indicates the fixation status (true or false) of the GPS signal. It confirms whether the modem has successfully triangulated its position with the satellites.,r,bool,dimensionless,N/A,N/A,No,Device.Location,DeviceHealthObserved,gpsFixed
rw_dev_conn_dns_p,DNS Primary server,Primary DNS (Domain Name System) to use to resolve domain names. Commonly useful for specific cases such as VPN.,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity,Device,rw_dev_conn_dns_p
r_dev_conn_bearer,Network Bearer,Connected technology,r,string,dimensionless,N/A,N/A,No,Device.Connectivity,Device,bearer
r_dev_conn_ip,IP,IP address,r,string,dimensionless,N/A,N/A,No,Device.Connectivity,Device,ipAddress
r_dev_conn_gw,Gateway,Gateway address,r,string,dimensionless,N/A,N/A,No,Device.Connectivity,Device,gwAddress
r_dev_conn_rssi,RSSI,RSSI value,r,float,dBm,N/A,N/A,No,Device.Connectivity,Device,rssi
r_dev_wifi_connected_ssid,Connected SSID,SSID of current AP,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,connectedWifiSSID
r_dev_wifi_mac,MAC,MAC address,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,wifiMACAddress
rw_dev_wifi_ssid,SSID,Specifies the Wi-Fi SSID that the Smart Spot will use to connect to the internet via Wi-Fi.,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,rw_dev_wifi_ssid
rw_dev_wifi_password,Password,Specifies the Wi-Fi password that the Smart Spot will use to connect to the internet via Wi-Fi.,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,rw_dev_wifi_password
rw_dev_def_wifi_en,Enable Default WiFi,Instructs the device on whether it should attempt to connect to the pre-configured Wi-Fi network (defaultSSAP) used for configuration purposes.,rw,bool,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,rw_dev_def_wifi_en
