Command,Name,Description,Send Type,Operations,Data Type,Units
r_serial,Device serial,Serial of the device,Uplink,Read,string,dimensionless
r_ts,Reported timestamp,Timestamp (GMT+0),Uplink,Read,uint32_t,dimensionless
r_fw,Firmware version,Device Firmware Version,Uplink,Read,string,dimensionless
r_radio_fw,Radio firmware version,Radio Firmware Version,Uplink,Read,string,dimensionless
rw_req_id,Request ID,Remote request Identifier,Uplink/Downlink,Read/Write,uint32_t,dimensionless
rw_slp_m,Time to sleep (minutes),Time Sleep Min,Uplink/Downlink,Read/Write,uint8_t,minutes
rw_slp_s,Time to sleep (seconds),Time Sleep Secs,Uplink/Downlink,Read/Write,uint8_t,seconds
rw_ka_h,Time to send keep-alive,Time Keep Alive,Uplink/Downlink,Read/Write,uint8_t,hours
rw_nm,Night mode,Night Mode disabled/light/deep,Uplink/Downlink,Read/Write,uint8_t,dimensionless
rw_nm_start,Night mode start hour (UTC),Night Mode Start Hour (UTC),Uplink/Downlink,Read/Write,uint8_t,hours
rw_nm_dur_h,Night mode duration,Night Mode Duration,Uplink/Downlink,Read/Write,uint8_t,hours
rw_nm_slp_m,Night mode time to sleep,Night Mode Sleep Time,Uplink/Downlink,Read/Write,uint8_t,minutes
rw_rdr_st,Radar range start,Radar Range Start,Uplink/Downlink,Read/Write,uint8_t,centimeters
rw_rdr_len,Radar range lenth,Radar Range Length,Uplink/Downlink,Read/Write,uint8_t,centimeters
rw_rdr_th,Radar threshold,Radar Threshold,Uplink/Downlink,Read/Write,uint8_t,db
rw_sec_snd,Seconday sending,Flag to enable/disable secondary sending,Uplink/Downlink,Read/Write,bool,dimensionless
rw_rpt_days,Report frequency,Sync Report Days,Uplink/Downlink,Read/Write,uint8_t,days
rw_h_snd_limit,Hourly sendings limit,Hourly Sendings Limit,Uplink/Downlink,Read/Write,uint8_t,dimensionless
rw_radio_timeout_s,Connection timeout,Timeout for radio send (seconds),Uplink/Downlink,Read/Write,uint8_t,seconds
rw_tau_ref_m,NB-IoT TAU refresh frequency,Máx NB-IoT timer required to refresh manually psm tau timer (minutes),Uplink/Downlink,Read/Write,uint8_t,minutes
rw_op_code_pre,Preset operator code,Preset operator code,Uplink/Downlink,Read/Write,uint32_t,dimensionless
rw_apn,Context APN,Context APN,Uplink/Downlink,Read/Write,string,dimensionless
rw_dns,DNS server IP,DNS server IP,Uplink/Downlink,Read/Write,string,dimensionless
rw_nb_rel,NB-IoT Release,NB-IoT Release 13 or 14,Uplink/Downlink,Read/Write,uint8_t,dimensionless
rw_ps_detection,Power saving detection (PS),Enable/disable power saving detection algorithm using magnetic field variations,Uplink/Downlink,Read/Write,bool,dimensionless
rw_ps_mg_single_delta,PS single delta limit,Magnetic field single axis delta variation to launch radar reading,Uplink/Downlink,Read/Write,uint16_t,milligauss
rw_ps_mg_total_delta,PS total delta limit,Magnetic field total delta variation to launch radar reading,Uplink/Downlink,Read/Write,uint16_t,milligauss
rw_ps_mg_mean_loops,PS mean loops,Number of loops to calculate magnetic field mean for ps detection algorithm,Uplink/Downlink,Read/Write,uint8_t,dimensionless
rw_ps_rdr_timeout_m,PS radar reading timeout,Maximum number of minutes without reading radar sensor,Uplink/Downlink,Read/Write,uint8_t,minutes
rw_diag_mode,Diagnostic mode,Set the device in diagnostic mode,Uplink/Downlink,Read/Write,bool,dimensionless
