Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Tab,Datamodel,Mapping
r_dev_ts,Timestamp,Timestamp DEV (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Device.Information,Device,dateObserved
r_dev_serial,Serial,Serial of the device,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,serialNumber
r_dev_fw_v,Firmware Version,Firmware Version,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,firmwareVersion
r_dev_fw_frmw_v,Framework Version,Framework Version,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,osVersion
r_dev_hw_config,Hardware Configuration,Model number of the device,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,hwConfig
r_dev_hw_v,Hardware Version,Device Hardware Version,r,string,dimensionless,N/A,N/A,No,Device.Information,Device,hardwareVersion
r_dev_mem_int_free,Internal Free Memory,Internal free memory,r,float,kb,N/A,N/A,No,Device.Information.Memory,Device,internalMemoryFree
r_dev_mem_ext_free,External Free Memory,External free memory,r,float,kb,N/A,N/A,No,Device.Information.Memory,Device,externalMemoryFree
r_dev_mem_nvs_free,Storage Free Memory,NVS percentaje of free memory,r,float,%,0,100,No,Device.Information.Memory,Device,configurationStorageFree
rw_dev_device_mode,Device Mode,Device Mode,rw,uint8_t,dimensionless,0,3,No,Device.Configuration,Device,deviceMode
rw_dev_interval,Report Interval,Report Interval,rw,uint32_t,seconds,120,3600,No,Device.Configuration,Device,reportInterval
r_dev_storage_days_cap,Internal Storage Capacity,Internal Storage Capacity,r,float,days,N/A,N/A,No,Device.Information.Memory,Device,internalStorageCapacity
r_dev_storage_usage_percent,Internal Storage Usage,Internal Storage Usage,r,float,%,0,100,No,Device.Information.Memory,Device,internalStorageUsage
w_dev_bstrap,Launch Bootstrapping,Force bootstrap connection,w,bool,dimensionless,N/A,N/A,Yes,Device.Management,Device,forceBootstrap
w_dev_snd_cfg,Request Configuration,Send device configuration,w,bool,dimensionless,N/A,N/A,No,Device.Management,Device,forceSendConfig
w_dev_snd_rpt,Request Report,Force to send one shot report,w,bool,dimensionless,N/A,N/A,No,Device.Management,Device,forceReport
w_dev_rbt,Reboot Device,Reboot the device,w,bool,dimensionless,N/A,N/A,No,Device.Management,Device,forceReboot
r_dev_rst_cause,Last Reset Cause,Last reset cause,r,uint64_t,dimensionless,N/A,N/A,No,Device.Management,Device,rebootReason
w_dev_ota,OTA Check,Check for OTA update,w,bool,dimensionless,N/A,N/A,Yes,Device.Management,Device,forceOTACheck
w_dev_ota_fix,OTA Fix,Fix OTA update,w,bool,dimensionless,N/A,N/A,Yes,Device.Management,Device,forceOTAFix
r_dho_ts,Timestamp,Timestamp DHO (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Device.Health,DeviceHealthObserved,dateObserved
r_dho_int_temp,Internal Temperature,Internal temperature,r,float,Celsius,-40,125,No,Device.Health,DeviceHealthObserved,temperature
r_dho_int_hum,Internal Humidity,Internal humidity,r,float,%,0,100,No,Device.Health,DeviceHealthObserved,humidity
r_dho_bat_state,Battery State,Battery state,r,uint32_t,dimensionless,N/A,N/A,No,Device.Health,DeviceHealthObserved,batteryState
r_dho_bat_voltage,Battery Voltage,Battery voltage,r,uint32_t,millivolts,9000,12600,No,Device.Health,DeviceHealthObserved,batteryVoltage
r_dho_bat_current,Battery Current,Battery current,r,int32_t,mAh,N/A,N/A,No,Device.Health,DeviceHealthObserved,batteryCurrent
r_dho_bat_temp,Battery Temperature,Battery temperature,r,float,Celsius,-36,84,No,Device.Health,DeviceHealthObserved,batteryTemperature
rw_dho_upd_location,Use GNSS Location,Enables GNSS location reporting,rw,bool,dimensionless,N/A,N/A,No,Device.Location,Device,useGNSSLocation
rw_dho_latitude,Latitude,Latitude,rw,float,degrees,-90,90,No,Device.Location,Device,latitude
rw_dho_longitude,Longitude,Longitude,rw,float,degrees,-180,180,No,Device.Location,Device,longitude
rw_dho_altitude,Altitude,Altitude,rw,float,meters,0,8000,No,Device.Location,Device,altitude
rw_dho_speed,Speed,Speed,rw,float,km/h,0,300,No,Device.Location,Device,speed
rw_dev_conn_dns_p,DNS Primary server,Primary DNS server IP,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity,Device,primaryDNS
rw_dev_conn_dns_s,DNS Secondary server,Secondary DNS server IP,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity,Device,secondaryDNS
r_dev_conn_bearer,Network Bearer,Connected technology,r,string,dimensionless,N/A,N/A,No,Device.Connectivity,Device,bearer
r_dev_conn_ip,IP,IP address,r,string,dimensionless,N/A,N/A,No,Device.Connectivity,Device,ipAddress
r_dev_conn_gw,Gateway,Gateway address,r,string,dimensionless,N/A,N/A,No,Device.Connectivity,Device,gwAddress
r_dev_conn_rssi,RSSI,RSSI value,r,float,dBm,N/A,N/A,No,Device.Connectivity,Device,rssi
r_dev_wifi_connected_ssid,Connected SSID,SSID of current AP,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,connectedWifiSSID
r_dev_wifi_mac,MAC,MAC address,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,wifiMACAddress
rw_dev_wifi_ssid,SSID,SSID of the AP to connect,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,wifiSSID
rw_dev_wifi_password,Password,Password of the AP to connect,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,wifiPassword
rw_dev_def_wifi_en,Enable Default WiFi,Enable Default WiFi AP Config,rw,bool,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,enableDefaultWiFi
rw_dev_webserver_en,WebServer: AP Enable,WebServer AP Enable,rw,bool,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,webServerAPEnabled
rw_dev_wifi_ap_channel,WebServer: WiFi AP Channel,WiFi AP Channel used for WebServer,rw,uint8_t,dimensionless,1,11,No,Device.Connectivity.WiFi,Device,webServerAPChannel
rw_dev_wifi_ap_ssid,WebServer: WiFi AP SSID,WiFi AP SSID used for WebServer,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,webServerAPSSID
rw_dev_wifi_ap_password,WebServer: WiFi AP password,WiFi AP password used for WebServer,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.WiFi,Device,webServerAPPassword
rw_dev_m2m_apn,APN,APN,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,apn
rw_dev_m2m_apn_login,APN Login,apn login,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,apnLogin
rw_dev_m2m_apn_password,APN Password,apn password,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,apnPassword
rw_dev_m2m_sim_pin,SIM PIN,apn login,rw,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,simPIN
r_dev_m2m_tech,Modem Technology,Modem Technology,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,modemTechnolgy
r_dev_m2m_model,Modem Model,Modem Model,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,modemModel
r_dev_m2m_fw,Modem firmware version,Modem Firmware Version,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,modemFirmwareVersion
r_dev_m2m_iccid,SIM ICCID,SIM ICCID,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,simICCID
r_dev_m2m_imei,Modem IMEI,Modem IMEI,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,modemIMEI
r_dev_m2m_op,Operator,Operator,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.M2M,Device,operator
r_dev_m2m_rsrq,RSRQ,RSRQ value,r,float,dB,N/A,N/A,No,Device.Connectivity.M2M,Device,rsrq
r_dev_lwan_ver,Version,LoRaWAN Version,r,string,dimensionless,N/A,N/A,No,Device.Connectivity.LoRaWAN,Device,loraWANVersion
